"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3214842","HDMs demethylate histones","24/732","50/10616",2.02808928919826e-15,2.27883487404459e-13,1.87865113104681e-13,"H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15",24
"R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","29/732","75/10616",2.96742538089511e-15,2.69817983435907e-13,2.22435537358166e-13,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC6/H2AC7",29
"R-HSA-5617472","Activation of anterior HOX genes in hindbrain development during early embryogenesis","37/732","121/10616",3.05619075089215e-15,2.69817983435907e-13,2.22435537358166e-13,"H2BC11/EZH2/H2BC14/POLR2D/H2AC8/H3C4/PIAS2/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/PKNOX1/CNOT9/HOXC4/H2AC7/HOXD1/YY1/RBBP5",37
"R-HSA-5619507","Activation of HOX genes during differentiation","37/732","121/10616",3.05619075089215e-15,2.69817983435907e-13,2.22435537358166e-13,"H2BC11/EZH2/H2BC14/POLR2D/H2AC8/H3C4/PIAS2/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/PKNOX1/CNOT9/HOXC4/H2AC7/HOXD1/YY1/RBBP5",37
"R-HSA-3214841","PKMTs methylate histone lysines","28/732","71/10616",4.93107955490945e-15,4.06320955324538e-13,3.34967369063322e-13,"EZH2/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/MECOM/NFKB2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RBBP5",28
"R-HSA-1500620","Meiosis","36/732","117/10616",5.86483498901882e-15,4.53058502901704e-13,3.73497386142777e-13,"H2BC11/H2BC14/BLM/H2AC8/H3C4/RPA3/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/BRCA2/ACD/HSPA2/RAD51/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RAD51C/H2AC7/BRCA1",36
"R-HSA-5625740","RHO GTPases activate PKNs","32/732","94/10616",7.71987118287254e-15,5.61280046001792e-13,4.62714260372794e-13,"H2BC11/H2BC14/CDC25C/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/PAK1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7/KLK3/KLK2",32
"R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","31/732","90/10616",1.41007403783369e-14,9.68250839312469e-13,7.98217350071938e-13,"H2BC11/H2BC14/H2AC8/H3C4/TLE3/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/TLE4/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7/RBBP5",31
"R-HSA-5250924","B-WICH complex positively regulates rRNA expression","30/732","90/10616",1.0274855746581e-13,6.25500494723587e-12,5.15657025117043e-12,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC6/TAF1B/H2AC7",30
"R-HSA-73772","RNA Polymerase I Promoter Escape","30/732","90/10616",1.0274855746581e-13,6.25500494723587e-12,5.15657025117043e-12,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC2/TAF1B/H2AC7",30
"R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","31/732","96/10616",1.06274355899639e-13,6.25500494723587e-12,5.15657025117043e-12,"H2BC11/H2BC14/H2AC8/H3C4/NFE2/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7/RBBP5/PRKCQ",31
"R-HSA-2559580","Oxidative Stress Induced Senescence","35/732","123/10616",1.92157988462903e-13,1.03274393361659e-11,8.51384881400836e-12,"H2BC11/EZH2/H2BC14/H2AC8/H3C4/MAPK10/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/TFDP2/CDKN2D/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/MAP2K6/MAP2K3/H2AC7/CDKN2B",35
"R-HSA-1474165","Reproduction","38/732","143/10616",1.92177269200499e-13,1.03274393361659e-11,8.51384881400836e-12,"H2BC11/H2BC14/OVGP1/BLM/H2AC8/H3C4/RPA3/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/BRCA2/ACD/HSPA2/RAD51/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/IZUMO4/RAD51C/H2AC7/BRCA1",38
"R-HSA-977225","Amyloid fiber formation","32/732","108/10616",6.19827201433552e-13,3.19211008738279e-11,2.63154706573543e-11,"H2BC11/H2BC14/FURIN/H2AC8/H3C4/ADAM10/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7/NAT8/NAT8B",32
"R-HSA-3214847","HATs acetylate histones","37/732","142/10616",7.7457645835546e-13,3.8295060101094e-11,3.15701057552878e-11,"H2BC11/H2BC14/H2AC16/CLOCK/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H2AC11/H2AC13/H2AC15/H2AC17/H2AC12/SUPT7L/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7/BRD8",37
"R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","32/732","109/10616",8.21072110137739e-13,3.90325049280864e-11,3.21780486887989e-11,"H2BC11/H2BC14/H2AC8/H3C4/RPS6KA1/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/CDKN2D/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/CXCL8/H2AC7/CDKN2B",32
"R-HSA-1912408","Pre-NOTCH Transcription and Translation","29/732","92/10616",1.33640627203041e-12,6.11777093418365e-11,5.04343575565472e-11,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/TFDP2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",29
"R-HSA-5578749","Transcriptional regulation by small RNAs","31/732","105/10616",1.59003409893347e-12,7.0188648081492e-11,5.78628950288573e-11,"H2BC11/H2BC14/POLR2D/NUP155/NUP210/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",31
"R-HSA-427413","NoRC negatively regulates rRNA expression","31/732","106/10616",2.10294092306889e-12,8.96287924452808e-11,7.3889176534689e-11,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/ARID4B/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC2/TAF1B/H2AC7",31
"R-HSA-68875","Mitotic Prophase","36/732","141/10616",3.05826814694557e-12,1.26000647654158e-10,1.03873809341871e-10,"H2BC11/CCNB2/H2BC14/CDK1/NUP155/NUP210/H2AC8/H3C4/SMC2/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/PLK1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RB1/H2AC7/PRKCA",36
"R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","34/732","129/10616",4.70147999579669e-12,1.78112839431311e-10,1.46834635129883e-10,"H2BC11/ITCH/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/SPI1/LMO1/GATA3/MYB/H2AC7/TAL1",34
"R-HSA-5250941","Negative epigenetic regulation of rRNA expression","31/732","109/10616",4.75543988772917e-12,1.78112839431311e-10,1.46834635129883e-10,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/ARID4B/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC2/TAF1B/H2AC7",31
"R-HSA-73854","RNA Polymerase I Promoter Clearance","31/732","109/10616",4.75543988772917e-12,1.78112839431311e-10,1.46834635129883e-10,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC2/ERCC6/TAF1B/H2AC7",31
"R-HSA-73864","RNA Polymerase I Transcription","31/732","111/10616",8.04529744406062e-12,2.92470224731145e-10,2.41109842905594e-10,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC2/ERCC6/TAF1B/H2AC7",31
"R-HSA-5250913","Positive epigenetic regulation of rRNA expression","30/732","105/10616",9.26975436743352e-12,3.27354754232795e-10,2.69868337674456e-10,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC6/TAF1B/H2AC7",30
"R-HSA-157579","Telomere Maintenance","26/732","81/10616",1.23055398104662e-11,4.22490200159341e-10,3.48297150190974e-10,"H2BC11/DNA2/H2BC14/H2AC8/RPA3/PCNA/POLE2/ACD/PRIM2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RFC5/H2AC7/POLE",26
"R-HSA-69473","G2/M DNA damage checkpoint","28/732","94/10616",1.52137896103062e-11,5.08222809684823e-10,4.18974348300893e-10,"H2BC11/CHEK1/DNA2/H2BC14/WEE1/CDC25C/CDK1/BLM/CHEK2/RPA3/EXO1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ATRIP/RFC5/BRCA1",28
"R-HSA-1912422","Pre-NOTCH Expression and Processing","30/732","108/10616",2.03856539973365e-11,6.63070219492315e-10,5.4662917089811e-10,"H2BC11/H2BC14/FURIN/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/TFDP2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",30
"R-HSA-9006931","Signaling by Nuclear Receptors","54/732","298/10616",3.43808833772325e-11,1.0896095347246e-09,8.98264375415953e-10,"H2BC11/AKT3/H2BC14/POLR2D/PDK2/H2AC8/H3C4/PDK1/TLE3/EGFR/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/ADH1C/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/PCK1/SP1/HRAS/CRABP1/TBL1X/CPT1B/GATA3/MYB/APOC2/APOC4/STRN/H2AC7/UGT1A3/YY1/PIK3R3/NOS3/ARL4C/GNB3/TFF1/CYP26A1",54
"R-HSA-2559583","Cellular Senescence","41/732","193/10616",5.5635901979135e-11,1.71914937115527e-09,1.41725139778428e-09,"H2BC11/EZH2/CCNE1/H2BC14/H2AC8/H3C4/RPS6KA1/MAPK10/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/ACD/TFDP2/CDKN2D/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/SP1/CXCL8/MAP2K6/RB1/MAP2K3/H2AC7/CDKN2B",41
"R-HSA-9018519","Estrogen-dependent gene expression","35/732","149/10616",7.82431430574556e-11,2.35874450778086e-09,1.94452791988747e-09,"H2BC11/H2BC14/POLR2D/H2AC8/H3C4/TLE3/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/SP1/GATA3/MYB/H2AC7/YY1/TFF1",35
"R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine","20/732","55/10616",2.31444650101228e-10,6.50149062557085e-09,5.35977084444948e-09,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-110331","Cleavage of the damaged purine","20/732","55/10616",2.31444650101228e-10,6.50149062557085e-09,5.35977084444948e-09,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-73927","Depurination","20/732","55/10616",2.31444650101228e-10,6.50149062557085e-09,5.35977084444948e-09,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-211000","Gene Silencing by RNA","32/732","135/10616",3.99378132895148e-10,1.08435195893532e-08,8.93930076860319e-09,"H2BC11/H2BC14/POLR2D/NUP155/NUP210/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/MYBL1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",32
"R-HSA-171306","Packaging Of Telomere Ends","19/732","51/10616",4.03561408665247e-10,1.08435195893532e-08,8.93930076860319e-09,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",19
"R-HSA-73886","Chromosome Maintenance","28/732","108/10616",5.57032646672339e-10,1.46487734316385e-08,1.20763180734339e-08,"H2BC11/DNA2/H2BC14/H2AC8/RPA3/OIP5/PCNA/CENPI/POLE2/ACD/PRIM2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RFC5/H2AC7/POLE",28
"R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","31/732","131/10616",7.86258408845649e-10,2.02461540277755e-08,1.66907486790041e-08,"H2BC11/CHEK1/DNA2/H2BC14/RAD51AP1/BLM/RPA3/PCNA/BRCA2/POLE2/RAD51/EXO1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ATRIP/RFC5/RAD51C/POLE/BRCA1",31
"R-HSA-212165","Epigenetic regulation of gene expression","33/732","148/10616",1.16239656473613e-09,2.93208602859972e-08,2.41718555244807e-08,"H2BC11/EZH2/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/ARID4B/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ERCC2/ERCC6/TAF1B/H2AC7",33
"R-HSA-73884","Base Excision Repair","25/732","91/10616",1.26020854838751e-09,3.11523553161393e-08,2.56817236808234e-08,"H2BC11/H2BC14/H2AC8/RPA3/PCNA/POLE2/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/RFC5/H2AC7/POLE",25
"R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","20/732","60/10616",1.38159872959184e-09,3.22199250901041e-08,2.65618186741788e-08,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-110329","Cleavage of the damaged pyrimidine ","20/732","60/10616",1.38159872959184e-09,3.22199250901041e-08,2.65618186741788e-08,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-73928","Depyrimidination","20/732","60/10616",1.38159872959184e-09,3.22199250901041e-08,2.65618186741788e-08,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-8939211","ESR-mediated signaling","42/732","222/10616",1.45106000510026e-09,3.32131512278503e-08,2.73806254373694e-08,"H2BC11/AKT3/H2BC14/POLR2D/H2AC8/H3C4/TLE3/EGFR/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/SP1/HRAS/GATA3/MYB/STRN/H2AC7/YY1/PIK3R3/NOS3/GNB3/TFF1",42
"R-HSA-69481","G2/M Checkpoints","35/732","167/10616",2.12691515110257e-09,4.77975841229595e-08,3.94039017467423e-08,"H2BC11/CCNB2/CHEK1/DNA2/CDC6/H2BC14/WEE1/CDC25C/CDK1/BLM/CHEK2/RPA3/GTSE1/DBF4/PKMYT1/CDC45/EXO1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ATRIP/RFC5/CDC25A/BRCA1",35
"R-HSA-5693538","Homology Directed Repair","31/732","137/10616",2.54391006930687e-09,5.61477293868444e-08,4.6287686975358e-08,"H2BC11/CHEK1/DNA2/H2BC14/RAD51AP1/BLM/RPA3/PCNA/BRCA2/POLE2/RAD51/EXO1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/ATRIP/RFC5/RAD51C/POLE/BRCA1",31
"R-HSA-73929","Base-Excision Repair, AP Site Formation","20/732","62/10616",2.65970728640079e-09,5.76736527366908e-08,4.75456445657611e-08,"H2BC11/H2BC14/H2AC8/ACD/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/OGG1/H2AC7",20
"R-HSA-8878171","Transcriptional regulation by RUNX1","42/732","237/10616",1.10515035282274e-08,2.35511351049811e-07,1.94153455813504e-07,"H2BC11/ITCH/H2BC14/H2AC8/H3C4/CTSV/NFE2/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/SPI1/LMO1/GATA3/CLDN5/MYB/H2AC7/CR1/RUNX2/TAL1/PML/RBBP5/PRKCQ",42
"R-HSA-3247509","Chromatin modifying enzymes","46/732","274/10616",1.27624030156031e-08,2.62905502121425e-07,2.16736949457962e-07,"H2BC11/EZH2/H2BC14/H2AC16/CLOCK/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/MECOM/H2AC11/H2AC13/H2AC15/H2AC17/H2AC12/SUPT7L/PADI2/NFKB2/ARID4B/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/BRMS1/TBL1X/H2AC7/BRD8/REST/RBBP5",46
